2025-08-27,Glucose,4.55,3.16,6.99,mmol/L
2025-08-27,IDEXX SDMATM EIA,13,0,14,μg/dL
2025-08-27,Creatinine,159.12,44.2,132.6,μmol/L
2025-08-27,Urea (BUN),8.57,3.21,10.35,mmol/L
2025-08-27,Phosphate,1.2,0.9,1.7,mmol/L
2025-08-27,Calcium,2.7,2.1,2.9,mmol/L
2025-08-27,Magnesium,0.8,0.7,1.1,mmol/L
2025-08-27,Sodium,147,142,153,mmol/L
2025-08-27,Potassium,5.0,3.9,5.8,mmol/L
2025-08-27,Chloride,112,106,120,mmol/L
2025-08-27,Total protein,67,54,76,g/L
2025-08-27,Albumin,30,28,43,g/L
2025-08-27,Globulin,37,24,43,g/L
2025-08-27,ALT (GPT),30,25,122,U/L
2025-08-27,AST (GOT),32,14,59,U/L
2025-08-27,Alkaline phosphatase,71,14,147,U/L
2025-08-27,GGT,3,2,13,U/L
2025-08-27,GLDH,2,1,18,U/L
2025-08-27,Bilirubin (total),6.84,0,6.84,μmol/L
2025-08-27,Cholesterol,9.21,3.59,10.29,mmol/L
2025-08-27,Triglycerides,0.72,0.32,5.29,mmol/L
2025-08-27,a-amylase,670,333,1264,U/L
2025-08-27,Lipase,118,0,250,U/L
2025-08-27,CK,137,41,378,U/L
2025-08-27,Fructosamine,277,177,314,μmol/L
2025-08-27,CRP (C-reactive protein) Immunoturbidimetry,6.8,0.0,10.7,mg/L
